AMM,NPMM,SPMM
-0.47549555,0.106231816,-0.12954317
-0.20493181,0.2095063,0.02763272
0.2206103,0.014574567,0.0033515897
0.021219624,-0.020311026,-0.12749992
0.12848663,0.4999317,0.5647819
-0.1592047,0.34136477,0.26910996
-0.09935472,0.18740024,0.22190607
-0.25308207,0.13941833,0.18058537
0.26916108,-0.18852404,-0.16116811
-0.14214052,-0.046398778,-0.16621633
0.13504186,-0.09683414,-0.015206537
0.1403466,-0.106127664,-0.12152483
0.12062987,0.01887845,0.08616404
0.08633037,0.09304762,0.101506576
-0.029201541,0.19564515,0.058548983
-0.1877779,0.027912987,0.13046032
0.28393173,-0.18125053,-0.25123987
0.4291691,0.0011365381,-0.046989918
-0.09882164,0.20637372,0.22986467
0.061647683,0.026303384,-0.0042782417
-0.13969119,-0.19360995,-0.13358341
-0.19507252,-0.17043872,-0.27592084
0.045197982,0.04300572,0.082459666
0.08504487,-0.17444332,0.1569053
-0.062326133,-0.24062783,-0.2771226
-0.10695626,-0.13957538,-0.10434532
-0.005940411,-0.35299084,-0.22107777
0.13317923,-0.19959906,-0.0775603
